"CpG.site","Coefficient","Panel","Training.cohort","Short_name","Name","SeqId","UniProt","Predictor","chr","pos","UCSC_RefGene_Name","GencodeCompV12_NAME"
"cg07900968",0.00714229170382247,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",36909326,"ZFP82","ZFP82"
"cg18542688",0.00829481038369447,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr2",241290875,"",""
"cg12716639",-0.00108803058537308,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr11",119234198,"USP2","USP2"
"cg01175020",-0.0154261882065909,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr10",102896475,"TLX1","RP11-31L23.3, TLX1, RP11-108L7.11"
"cg17170088",0.0234360313849474,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr8",145159375,"SHARPIN, MAF1","MAF1, SHARPIN"
"cg12471789",-0.00469084036727776,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr1",150529664,"ADAMTSL4","RP11-54A4.2, ADAMTSL4"
"cg06532856",-0.00938559976676087,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr11",68762338,"",""
"cg10021295",-0.0042541717935235,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr16",66731183,"CMTM4","CMTM4"
"cg17582545",0.0103838548305169,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr7",157647847,"PTPRN2","AC011899.9"
"cg12116137",0.0145768294656814,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr17",1576449,"PRPF8","PRPF8"
"cg14710552",0.00122158861553861,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr7",134832584,"TMEM140","TMEM140, AGBL3, C7orf49"
"cg10563109",-0.00395044207939018,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr6",5087749,"",""
"cg02155829",0.00315867169639407,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr1",39325484,"RRAGC","RP5-864K19.4, RRAGC"
"cg21495612",0.00338263378285158,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr14",96342250,"","RP11-185P18.1"
"cg16253537",0.0142579067080553,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr5",131132836,"FNIP1","FNIP1"
"cg00466364",0.00534846141275575,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",11592764,"ELAVL3","ELAVL3"
"cg02861056",0.00176277782361299,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr2",68592345,"PLEK","AC015969.3, PLEK"
"cg25259697",0.000787368870135469,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr7",1989360,"MAD1L1",""
"cg04657224",-0.0112208150785959,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr8",11059038,"XKR6","XKR6"
"cg15213732",0.0121211206796963,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr10",860677,"LARP4B","LARP4B"
"cg13876222",0.0318944687562403,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr9",139399348,"NOTCH1","NOTCH1"
"cg07068382",0.00459405368728672,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr6",36947277,"MTCH1","MTCH1"
"cg11349423",-0.000174389526227616,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr11",133232657,"OPCML","OPCML-IT1, OPCML"
"cg09126090",-0.0265588097407962,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr1",1534514,"","C1orf233"
"cg12156831",0.0126482793884063,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",10713352,"SLC44A2",""
"cg07077900",0.00220570735211864,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr3",53916135,"ACTR8","ACTR8"
"cg05337258",-0.00967784427708401,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr11",61106920,"DAK","DDB1, DAK"
"cg00813509",0.0110490853159267,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr12",124941317,"NCOR2","NCOR2"
"cg09529023",0.0222602683987652,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr16",2097506,"TSC2, NTHL1","TSC2, NTHL1"
"cg18698690",0.00290701369079182,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr3",129612569,"TMCC1","TMCC1"
"cg22816913",-0.00136293113086309,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",54578294,"TARM1","AC012314.2"
"cg13375457",0.00452607044806081,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr6",33263343,"RGL2","RGL2"
"cg00760338",0.00392489920204861,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr3",185826511,"ETV5","ETV5, DGKG"
"cg09990440",-0.00122636825217276,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr6",30710455,"FLOT1","FLOT1"
"cg23791442",-0.00155533377932436,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr22",43010704,"POLDIP3, RNU12","RNU12, POLDIP3"
"cg07545636",0.00282077844794073,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr2",10262820,"RRM2","RRM2"
"cg15048078",0.00308995956715073,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr4",38665599,"KLF3, FLJ13197","KLF3, RP11-617D20.1, AC021860.1"
"cg20783319",-0.00606462639372668,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr11",112831681,"NCAM1","RP11-629G13.1, NCAM1"
"cg25349939",0.0148700838296213,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr2",144855085,"GTDC1","GTDC1"
"cg03613353",-0.00376912019958778,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",7695641,"XAB2, LOC100131801","XAB2"
"cg22960135",-0.0101510219170792,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",41082622,"SHKBP1","SHKBP1"
"cg11092486",-0.0142083808221408,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr6",5087604,"",""
"cg00321709",-0.0137127103359722,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr10",135341933,"CYP2E1","CYP2E1, SPRN"
"cg15175162",-0.00309133589479921,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr4",15657657,"FBXL5","FBXL5"
"cg03526224",-0.0162872495291388,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",57989117,"ZNF772","ZNF772"
"cg03687700",-0.0054986029693011,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr2",24271844,"FKBP1B","FKBP1B, MFSD2B, C2orf44"
"cg11722581",0.00866275325823595,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr10",695853,"DIP2C, C10orf108","C10orf108"
"cg25227364",-0.00643723278822939,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr19",49217490,"MAMSTR",""
"cg14812474",-0.00495016855547716,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr4",7632386,"SORCS2","SORCS2"
"cg26702039",0.00655151753448532,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr16",66170991,"",""
"cg19250113",0.013875598587505,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr17",29298832,"RNF135","RNF135"
"cg24163263",0.000997359152987073,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr13",107335632,"",""
"cg08750807",-0.0203550621666865,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr16",70286329,"AARS, EXOSC6","EXOSC6, AARS"
"cg19824710",-0.0134542414217716,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr1",43995379,"PTPRF","PTPRF"
"cg14616345",0.0119787640309623,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr9",133901267,"LAMC3","LAMC3"
"cg12019475",-0.0112120322846798,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr6",45700739,"",""
"cg11643285",-0.03299246896983,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr3",16411667,"RFTN1","RFTN1"
"cg06038777",-0.0041639262651122,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr8",26371800,"PNMA2","PNMA2, DPYSL2"
"cg01247836",-0.0165558603603201,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr17",36722136,"SRCIN1","SRCIN1"
"cg01616489",-0.0700849726991873,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr12",133249980,"POLE","POLE"
"cg01881899",0.000387101308447372,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr21",43652704,"ABCG1","ABCG1, TMPRSS3"
"cg00415057",-0.00395509574438072,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr16",68333694,"SLC7A6","SLC7A6, SLC7A6OS"
"cg07926895",-0.013674361181312,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr1",200005833,"NR5A2","NR5A2"
"cg21163415",-0.000908221945237727,"SomaScan","KORA","CCL21","C-C motif chemokine 21","2516-57","O00585","6Ckine","chr20",57876201,"EDN3",""
