"CpG_Site","Coefficient","Mean_Beta_Value","Predictor"
"cg00050984",0.00535770916995271,-8.72717481722884e-17,"CRTAM"
"cg00146096",0.00237893375943059,-4.62062087619846e-17,"CRTAM"
"cg00631221",0.00459513695845225,1.38787706539765e-16,"CRTAM"
"cg01132515",0.00415187411037635,-7.62619233417417e-17,"CRTAM"
"cg01187920",0.00746724591341747,-3.03889429800949e-16,"CRTAM"
"cg01490663",-0.00339078820711073,1.10887594949676e-15,"CRTAM"
"cg01761409",0.00840365141652764,5.2437894942157e-17,"CRTAM"
"cg02405003",0.000131642670703559,4.63849255152749e-16,"CRTAM"
"cg03207593",0.00252103411720248,-2.180098678602e-16,"CRTAM"
"cg03461641",0.00701352804755267,-2.8904799204521e-16,"CRTAM"
"cg03736201",0.00850293031060236,-4.28232215583467e-16,"CRTAM"
"cg03888592",0.00241575114102717,4.94166104831162e-16,"CRTAM"
"cg04010091",0.00359680332308449,4.7957978476084e-17,"CRTAM"
"cg04506342",-0.0244207808286206,2.66309846086726e-17,"CRTAM"
"cg05107535",-0.0148415494539712,-2.47184581191967e-16,"CRTAM"
"cg05280133",0.0129774207956175,-2.59702048483652e-16,"CRTAM"
"cg05502939",0.00108087932430339,-4.75140852211875e-18,"CRTAM"
"cg06096336",0.0450762870608224,-4.79480501941504e-16,"CRTAM"
"cg07536507",0.00169879596231506,-1.07745846568659e-15,"CRTAM"
"cg07537896",0.00212458606111091,-8.54237075248456e-16,"CRTAM"
"cg07839457",-0.0570873730831093,-3.71767703575044e-17,"CRTAM"
"cg07892785",0.0017560103838729,2.41131803727226e-17,"CRTAM"
"cg08002883",0.0273315748754394,2.63849659287404e-17,"CRTAM"
"cg08634357",-0.00224539502047464,-5.21204817027363e-16,"CRTAM"
"cg09107344",9.1854989804255e-05,5.3158417159993e-16,"CRTAM"
"cg09583957",0.00109546370481837,-3.84897299742015e-16,"CRTAM"
"cg09801824",0.0273473623831488,2.26035651406567e-16,"CRTAM"
"cg10580269",0.017543410688476,1.22515382984857e-16,"CRTAM"
"cg10770187",0.018930295471699,-4.16481061158738e-17,"CRTAM"
"cg10867751",0.0238459371833288,-1.81229614501188e-16,"CRTAM"
"cg11217193",0.0242071046928397,8.97857534774676e-16,"CRTAM"
"cg12023170",0.00157228787130487,2.46495974599697e-16,"CRTAM"
"cg13135595",0.00488679327310242,7.5498057392203e-17,"CRTAM"
"cg13168314",-0.0135102973748912,-4.58608304778599e-17,"CRTAM"
"cg14297966",0.00192898670025583,1.12915410061806e-15,"CRTAM"
"cg14631761",0.00488185549743374,1.51709676455008e-15,"CRTAM"
"cg14717122",-0.00579670438932168,-7.78575408523461e-18,"CRTAM"
"cg15322932",-0.0216249250053396,2.05681521669849e-16,"CRTAM"
"cg15871544",0.00546494963553984,6.85326343204067e-17,"CRTAM"
"cg16411857",-0.0372054885808058,-2.68880603079277e-17,"CRTAM"
"cg16750440",0.0201369147326145,-4.29129446630598e-17,"CRTAM"
"cg17124581",0.000313640591344149,3.59127649260103e-16,"CRTAM"
"cg17250770",0.0136225027793764,4.95848960136635e-16,"CRTAM"
"cg17752595",-0.00692675604481553,-9.94595204867698e-17,"CRTAM"
